,NTAName,LI - Not Losing Low Income Households,MHI - At Risk of Exclusion,MHI - Not Losing Low Income Households,LI - At Risk of Gentrification and/or Displacement,MHI - Advanced Exclusion,MHI - Advanced Gentrification,MHI - Ongoing Exclusion,LI - Ongoing Gentrification and/or Displacement,total
67,Fort Greene,0.0434782608696,0.260869565217,0.0,0.0434782608696,0.217391304348,0.304347826087,0.0,0.130434782609,23.0
68,Fresh Meadows-Utopia,0.25,0.125,0.375,0.0,0.125,0.0,0.125,0.0,8.0
69,Ft. Totten-Bay Terrace-Clearview,0.0769230769231,0.0,0.38461538461499994,0.0,0.46153846153800004,0.0,0.0769230769231,0.0,13.0
70,Georgetown-Marine Park-Bergen Beach-Mill Basin,0.0625,0.125,0.375,0.0,0.25,0.03125,0.15625,0.0,32.0
71,Glendale,0.0769230769231,0.0384615384615,0.192307692308,0.0384615384615,0.269230769231,0.115384615385,0.0,0.269230769231,26.0
72,Glen Oaks-Floral Park-New Hyde Park,0.153846153846,0.0769230769231,0.38461538461499994,0.0,0.23076923076900002,0.0,0.153846153846,0.0,13.0
73,Gramercy,0.0,0.153846153846,0.0,0.0,0.615384615385,0.0769230769231,0.0,0.153846153846,13.0
74,Grasmere-Arrochar-Ft. Wadsworth,0.615384615385,0.0,0.0769230769231,0.0,0.153846153846,0.0,0.0769230769231,0.0769230769231,13.0
75,Gravesend,0.41176470588200004,0.0,0.0,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.35294117647100004,17.0
76,Great Kills,0.125,0.0,0.375,0.0,0.375,0.0,0.125,0.0,16.0
77,Greenpoint,0.0,0.05,0.0,0.0,0.25,0.65,0.0,0.05,20.0
78,Grymes Hill-Clifton-Fox Hills,0.428571428571,0.0,0.07142857142860001,0.214285714286,0.214285714286,0.0,0.0,0.07142857142860001,14.0
79,Hamilton Heights,0.0,0.0,0.06666666666669999,0.33333333333299997,0.0,0.0,0.0,0.6,15.0
80,Hammels-Arverne-Edgemere,0.5,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.33333333333299997,12.0
81,Highbridge,0.0588235294118,0.0,0.0588235294118,0.470588235294,0.0,0.0,0.0,0.41176470588200004,17.0
82,Hollis,0.181818181818,0.0454545454545,0.40909090909100004,0.0454545454545,0.13636363636399998,0.0454545454545,0.0909090909091,0.0454545454545,22.0
83,Homecrest,0.44117647058799997,0.0,0.0,0.117647058824,0.117647058824,0.0294117647059,0.0588235294118,0.235294117647,34.0
84,Hudson Yards-Chelsea-Flatiron-Union Square,0.0,0.193548387097,0.0645161290323,0.0322580645161,0.387096774194,0.193548387097,0.0322580645161,0.09677419354839999,31.0
85,Hunters Point-Sunnyside-West Maspeth,0.0540540540541,0.027027027026999998,0.10810810810799999,0.135135135135,0.135135135135,0.18918918918900002,0.027027027026999998,0.324324324324,37.0
86,Hunts Point,0.0588235294118,0.0,0.0,0.470588235294,0.0,0.0588235294118,0.0,0.41176470588200004,17.0
87,Jackson Heights,0.375,0.0,0.0625,0.3125,0.03125,0.0625,0.0,0.15625,32.0
88,Jamaica,0.323529411765,0.0588235294118,0.0882352941176,0.264705882353,0.0588235294118,0.117647058824,0.0294117647059,0.0588235294118,34.0
